#parallel read times
#MB  |S3mean | S3stdev | mosamean | mosastdev| chirpmean|chirpstdev
0   |12.32|0.56|5.98|0.72|
10  |39.219|6.212|6.43|0.325|
50  |101.64|15.71|19.58|0.945|
100 |171.01|12.98|33.71|8.57|
200 |270.83|3.05|74.32|4.08|
500 |476.86|10.75|152.27|9.226|
750 |687.01|21.22|201.75|33.82|
1000|871.10|19.17|261.41|31.07|
