0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	84.595	85.329	86.164	84.755	83.531	85.678	86.360	83.656	86.241	84.970	83.296	86.526	86.078	84.675	85.733	85.123	85.857	83.713	84.544	83.899	86.335	82.198	88.534	82.154	84.256	84.320	87.754	88.117	85.399	84.542	85.965	86.181	84.358	87.776	87.696	81.523	82.681	82.162	81.746	88.987	93.436	102.211	92.411	105.175	103.658	102.521	98.563	90.708	93.136	104.990	106.448	96.802	103.399	101.540	93.497	94.453	103.934	102.741	101.718	90.665	136.012	143.983	148.932	154.239	139.529	146.787	148.892	139.354	149.135	139.571	136.806	141.060	148.738	148.534	142.558	151.393	148.614	158.455	139.433	148.709	259.451	258.437	258.278	256.031	269.827	259.332	269.720	255.331	269.489	270.290	268.759	262.280	260.112	263.523	255.752	257.458	260.938	262.357	259.833	262.639	258.569	254.430	258.979	255.585	257.398	255.767	258.875	244.260	259.248	257.562	255.860	256.911	258.059	258.786	259.261	262.791	261.193	261.375	256.905	259.641	197.307	208.154	210.749	194.143	183.935	213.492	196.750	204.083	183.692	210.832	200.966	175.606	192.162	186.394	183.245	204.577	194.384	185.848	206.384	208.590
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	84.778	83.946	85.031	84.838	83.415	85.252	84.604	86.125	84.660	85.207	83.502	86.171	83.327	83.648	85.727	86.010	85.951	84.756	86.192	83.304	75.736	85.272	86.078	86.007	85.771	84.732	85.008	82.429	88.982	82.354	79.080	86.942	84.914	82.093	87.808	75.732	81.799	88.970	81.406	81.255	95.389	102.713	92.536	93.536	102.043	102.837	101.222	90.582	90.714	101.198	95.360	101.509	91.194	103.346	90.334	98.699	92.594	98.623	101.724	90.329	148.225	148.753	142.639	154.136	136.942	136.919	154.015	138.457	148.076	139.645	148.453	148.478	138.616	152.196	148.173	140.393	146.464	153.794	148.694	148.459	258.311	262.259	267.429	258.138	269.853	256.956	270.315	256.776	259.943	254.457	258.921	267.956	255.861	256.348	256.941	258.246	259.134	264.304	258.452	262.404	262.616	255.963	247.132	262.342	260.037	258.773	260.995	259.922	256.948	256.544	246.996	256.029	259.429	263.171	267.659	262.469	250.430	253.427	260.817	255.222	198.393	180.619	203.809	207.370	177.224	211.427	202.790	187.340	194.633	184.926	174.608	194.380	198.915	176.177	216.525	202.672	208.824	180.945	196.206	187.647
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	85.240	85.134	84.905	84.899	83.437	84.796	84.775	86.172	85.431	84.858	84.923	83.624	85.055	85.687	84.236	85.556	83.200	83.254	84.046	85.091	79.517	82.899	88.128	87.577	84.440	85.321	84.869	81.290	81.458	82.601	84.000	83.205	88.082	81.544	85.289	85.801	85.714	84.236	83.852	85.325	103.770	100.805	103.720	99.061	103.424	101.531	105.879	102.593	101.482	102.316	98.536	93.564	98.642	107.134	106.281	103.612	98.980	107.557	103.233	92.901	155.287	153.994	142.721	136.877	148.982	148.845	143.751	141.508	151.614	148.705	148.635	142.187	143.796	143.709	148.707	139.843	151.407	139.716	137.756	157.835	258.193	258.739	257.609	263.241	256.231	270.481	256.955	258.002	257.259	257.623	262.271	257.665	270.841	269.711	263.098	257.705	259.396	261.174	270.341	269.475	257.638	260.473	257.645	259.911	259.511	257.696	255.700	259.950	263.605	258.070	259.187	261.680	257.739	256.309	248.697	262.992	260.398	259.324	252.248	253.762	203.288	207.025	206.533	202.285	181.845	207.548	173.155	186.464	201.047	207.471	207.164	201.425	195.827	198.039	186.465	203.280	211.143	195.920	193.476	187.955
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	85.015	84.626	84.609	85.054	83.400	83.667	86.082	84.026	84.899	84.960	84.805	86.227	85.225	84.475	86.254	84.922	84.570	83.533	86.131	83.784	85.138	84.954	85.095	88.539	88.049	81.144	81.459	81.553	85.619	76.382	81.685	82.099	86.205	87.827	81.837	84.998	85.646	88.988	88.198	84.290	107.996	98.330	104.773	102.969	105.999	103.785	106.513	95.364	104.238	104.935	102.528	98.569	105.118	98.932	101.722	101.557	101.617	110.108	100.977	93.210	148.724	148.063	137.257	139.798	137.263	148.527	138.316	148.528	154.065	148.735	154.219	148.646	153.978	148.486	148.029	148.654	151.654	142.269	142.089	142.337	257.149	259.730	255.650	262.530	260.600	272.762	257.404	255.934	257.977	270.965	263.420	271.040	263.047	257.150	261.129	270.120	261.094	258.066	260.088	255.900	254.624	260.782	260.487	244.424	263.764	250.434	266.138	260.630	265.575	257.627	258.688	262.280	261.110	249.552	248.407	248.814	257.766	259.365	259.436	258.862	204.606	185.656	210.455	201.127	195.463	186.609	172.691	192.893	193.305	185.594	187.214	184.104	181.082	205.109	208.343	169.133	196.974	194.578	206.770	199.500
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	83.731	84.017	84.672	84.978	84.850	85.026	83.435	85.955	86.102	86.130	84.667	83.558	83.564	85.753	85.970	84.016	84.853	83.618	83.473	84.863	82.511	83.801	79.804	78.168	85.364	80.460	82.564	82.098	89.186	84.546	87.757	87.950	82.899	80.672	88.804	80.672	85.303	88.401	81.355	86.485	103.677	103.479	93.672	95.174	102.375	94.822	98.837	104.364	107.815	102.890	108.911	98.880	102.683	101.727	95.309	109.140	108.902	108.558	106.718	105.577	148.752	138.879	150.717	138.379	141.005	144.882	142.308	144.460	142.137	148.667	137.523	143.107	138.331	146.338	139.775	154.402	137.231	145.156	148.123	140.391	257.886	272.634	262.770	257.348	271.768	257.904	268.497	257.138	256.502	257.340	263.884	255.171	258.704	263.139	260.200	256.555	258.046	259.949	259.660	256.071	262.945	260.273	261.023	256.450	259.599	259.279	264.252	263.903	255.247	259.156	259.875	256.685	259.682	253.850	259.260	254.936	251.911	258.785	247.581	263.016	203.650	208.529	194.057	194.117	209.184	180.949	181.989	208.881	192.667	211.204	204.673	204.519	194.356	208.204	195.367	196.229	190.071	205.816	197.826	219.439
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	83.708	84.575	83.303	83.680	86.086	85.983	84.639	85.004	85.258	84.613	86.123	84.088	84.636	86.223	83.893	84.895	85.700	85.031	85.292	86.014	81.478	75.992	81.486	77.789	84.963	81.892	88.159	88.044	83.019	88.044	85.735	80.119	88.411	83.691	82.229	88.255	81.961	83.937	81.683	81.434	102.898	90.709	98.083	100.498	99.067	103.453	105.674	98.607	101.184	96.345	95.304	105.886	105.259	101.605	105.615	104.178	103.686	100.964	91.059	105.462	156.172	138.218	142.482	139.675	148.457	150.776	144.266	137.949	138.674	148.546	142.470	148.533	150.907	141.163	154.883	148.691	151.135	153.873	148.668	142.658	258.034	259.795	262.429	263.424	266.468	268.975	258.933	258.591	272.128	256.964	259.016	262.459	272.019	258.281	258.054	258.158	269.357	257.515	257.603	258.440	259.738	261.459	253.170	262.639	251.823	262.342	261.074	254.079	264.616	252.692	253.015	260.670	263.957	258.547	258.959	261.781	250.434	261.432	259.708	262.808	181.881	188.454	194.489	178.308	202.623	186.935	176.486	199.880	193.546	194.977	195.945	189.668	188.276	194.009	204.359	193.205	189.617	172.912	209.595	197.150
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	86.248	84.446	85.680	86.104	84.488	84.898	83.248	86.115	84.661	85.231	86.337	85.239	83.551	83.644	85.836	83.533	84.999	86.027	86.188	86.065	78.517	88.885	81.390	81.661	83.188	88.457	82.590	85.520	86.239	78.924	85.806	86.150	88.188	81.137	87.052	81.791	88.413	85.225	88.028	79.160	108.447	98.544	102.721	96.202	106.743	101.257	106.521	102.368	108.975	103.750	100.907	99.388	92.551	108.137	105.861	102.712	106.818	98.754	101.528	105.535	148.485	137.406	136.883	151.508	151.324	153.887	153.666	136.812	141.259	153.649	144.738	141.021	139.750	139.663	149.274	143.431	142.588	150.910	159.769	140.348	255.965	255.096	271.577	255.267	258.615	258.559	257.327	261.854	256.357	259.130	261.091	263.397	271.359	264.710	271.296	261.891	269.047	271.626	257.227	258.866	253.663	259.607	259.362	262.480	257.336	260.615	248.557	257.689	253.111	261.277	244.784	258.154	251.128	260.560	255.284	255.108	260.306	260.307	260.406	257.999	193.194	205.758	190.126	186.627	202.496	194.585	192.369	205.688	196.876	208.795	183.833	194.918	185.102	192.996	178.888	198.119	194.005	196.559	184.807	177.673
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	84.590	86.268	84.571	86.007	84.845	84.264	85.894	86.107	84.902	86.069	85.247	84.663	86.089	84.424	83.356	85.160	83.836	84.210	83.330	83.778	78.246	81.414	85.410	88.577	87.610	82.348	88.439	85.287	80.879	86.055	87.541	83.773	83.684	78.799	82.194	75.823	75.658	80.861	81.596	87.433	106.673	101.493	106.314	107.362	102.777	101.208	99.033	101.593	103.778	103.536	104.854	104.783	105.290	90.488	95.066	102.688	90.509	91.082	104.829	103.502	148.613	139.207	138.273	137.304	136.924	138.084	148.513	148.593	141.960	147.960	148.767	138.006	147.908	149.361	145.890	150.246	143.556	141.362	137.349	148.383	256.813	263.849	254.970	259.673	270.136	270.556	270.899	257.849	261.786	262.341	258.946	258.514	269.900	261.674	258.871	258.853	257.976	264.243	269.152	257.959	251.309	257.939	260.993	252.207	257.031	263.993	263.815	262.137	256.446	256.307	262.573	265.976	258.490	253.655	266.555	251.941	260.023	260.884	262.086	251.290	193.165	177.485	195.867	210.001	197.554	194.604	196.502	198.030	198.799	177.973	197.027	194.018	183.294	210.496	185.106	183.326	194.807	200.999	208.129	208.578
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	83.683	83.675	83.987	84.534	83.705	84.901	84.824	84.848	85.328	86.181	85.808	86.166	85.057	85.059	83.924	84.911	84.601	84.553	83.668	84.814	81.821	81.711	85.135	85.150	82.454	86.047	85.961	81.784	85.100	87.787	85.323	81.153	81.282	80.141	79.552	81.549	82.074	81.554	79.139	82.095	90.358	101.121	99.181	106.525	98.601	102.814	100.636	101.546	100.796	105.209	105.678	94.818	107.940	94.529	101.198	104.807	102.329	105.834	92.355	104.737	153.967	148.603	137.299	149.121	144.681	153.765	157.789	139.290	138.048	148.817	148.920	154.056	142.127	150.724	148.221	151.578	143.981	142.058	150.009	141.572	261.920	258.983	268.271	259.117	262.053	270.367	254.952	258.148	257.222	262.583	255.208	258.695	255.498	271.005	259.482	259.640	256.046	270.613	267.335	271.078	265.562	269.527	259.738	259.888	261.836	265.536	261.203	258.747	243.569	259.779	259.056	259.603	259.615	246.693	259.443	258.259	259.158	264.537	259.647	261.956	200.150	206.913	205.045	172.707	168.508	208.945	207.628	213.105	197.203	203.061	195.024	204.348	194.443	188.647	201.138	177.633	198.134	186.193	209.549	204.901
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	84.976	83.764	85.148	84.658	86.269	85.875	84.836	83.931	84.572	84.809	84.431	86.106	85.750	84.907	84.681	85.889	84.514	85.639	87.366	86.156	84.671	84.253	88.298	84.094	84.151	80.176	81.187	81.361	88.080	88.636	81.445	84.979	87.462	79.398	81.632	85.697	82.218	84.265	77.949	85.185	104.441	98.464	104.513	102.647	94.882	107.726	99.189	109.777	104.762	104.865	92.450	102.686	91.067	95.173	90.610	99.131	104.602	103.322	93.692	103.701	153.800	154.207	158.092	148.455	141.158	142.542	149.636	154.219	148.803	149.109	142.809	151.993	154.099	148.948	145.186	150.634	154.458	138.180	149.815	142.259	263.571	258.621	259.106	258.239	256.496	270.802	257.648	258.600	269.090	262.173	258.852	261.046	258.023	271.919	257.269	257.284	264.676	258.051	257.572	255.775	260.617	257.569	253.663	260.550	257.279	256.472	256.532	260.036	259.178	262.397	265.964	251.817	257.501	259.248	261.771	266.745	254.840	259.700	253.416	265.660	179.184	195.036	213.015	194.324	194.978	195.993	197.574	183.476	180.068	194.510	188.163	208.947	194.803	195.952	186.355	185.719	204.408	206.746	190.343	196.310
